Gender,Height,Weight
Male,1.88,109.72
Male,1.75,73.62
Male,1.88,96.5
Male,1.82,99.81
Male,1.78,93.6
Male,1.71,69.04
Male,1.75,83.43
Male,1.74,76.19
Male,1.7,79.8
Male,1.61,70.94
Male,1.81,84.64
Male,1.82,96.95
Male,1.65,75.81
Male,1.76,85.93
Male,1.76,84.57
Male,1.72,78.1
Male,1.84,88.92
Male,1.62,78.42
Male,1.77,84.36
Male,1.73,82.75
Male,1.72,78.98
Male,1.76,89.69
Male,1.68,67.66
Male,1.91,103.76
Male,1.72,73.48
Male,1.73,87.25
Male,1.75,83.66
Male,1.85,93.82
Male,1.71,79.48
Male,1.74,70.01
Male,1.74,85.05
Male,1.88,96.57
Male,1.82,88.47
Male,1.76,93.07
Male,1.77,92.61
Male,1.79,87.5
Male,1.75,89.58
Male,1.71,83.38
Male,1.67,74.32
Male,1.63,73.98
Male,1.73,78.08
Male,1.83,88.02
Male,1.66,76.48
Male,1.68,73.12
Male,1.71,74.69
Male,1.78,85.69
Male,1.73,84.85
Male,1.83,94.83
Male,1.76,87.1
Male,1.85,95.86
Male,1.65,75.12
Male,1.78,91.2
Male,1.74,78.66
Male,1.71,82.29
Male,1.7,76.99
Male,1.69,74.08
Male,1.74,86.05
Male,1.8,87.15
Male,1.81,89.9
Male,1.78,95.04
Male,1.81,90.16
Male,1.77,89.85
Male,1.88,88.58
Male,1.7,74.82
Male,1.81,81.58
Male,1.66,70.42
Male,1.73,83.7
Male,1.85,100.1
Male,1.73,83.15
Male,1.75,89.11
Male,1.76,83.73
Male,1.79,94.14
Male,1.77,80.38
Male,1.72,73.98
Male,1.84,98.07
Male,1.81,92.83
Male,1.82,91.14
Male,1.84,100.2
Male,1.69,89.11
Male,1.68,76.49
Male,1.72,82.3
Male,1.73,90.11
Male,1.88,107.92
Male,1.77,78.49
Male,1.68,72.88
Male,1.81,85.55
Male,1.69,94.5
Male,1.75,87.74
Male,1.73,78.97
Male,1.84,89.52
Male,1.82,91.45
Male,1.66,82.11
Male,1.79,82.61
Male,1.64,80.53
Male,1.7,74.83
Male,1.65,75.17
Male,1.82,87.59
Male,1.7,81.96
Male,1.69,78.37
Male,1.76,80.5
Male,1.78,91.09
Male,1.7,76.09
Male,1.68,70.03
Male,1.74,80.73
Male,1.78,83.43
Male,1.75,81.29
Male,1.72,71.93
Male,1.68,75.52
Male,1.76,78.01
Male,1.72,79.09
Male,1.76,85.16
Male,1.73,91.39
Male,1.82,92.95
Male,1.76,81.05
Male,1.71,74.4
Male,1.87,101.27
Male,1.77,92.06
Male,1.74,85.91
Male,1.72,80.82
Male,1.82,101.29
Male,1.62,75.76
Male,1.75,81.86
Male,1.7,74.59
Male,1.59,68.03
Male,1.84,87.5
Male,1.8,91.57
Male,1.72,81.59
Male,1.8,89.12
Male,1.76,85.07
Male,1.68,77.88
Male,1.71,86.95
Male,1.67,75.23
Male,1.81,84.22
Male,1.74,80.87
Male,1.63,68.48
Male,1.8,95.22
Male,1.73,79.0
Male,1.74,81.59
Male,1.73,76.09
Male,1.73,83.03
Male,1.75,76.91
Male,1.68,78.67
Male,1.68,82.05
Male,1.71,83.24
Male,1.76,93.43
Male,1.79,83.35
Male,1.81,91.61
Male,1.8,98.03
Male,1.68,72.3
Male,1.84,95.41
Male,1.71,81.02
Male,1.66,66.56
Male,1.8,88.88
Male,1.78,77.19
Male,1.64,76.95
Male,1.76,89.98
Male,1.75,81.6
Male,1.57,66.8
Male,1.74,80.28
Male,1.66,84.13
Male,1.63,80.51
Male,1.75,77.03
Male,1.84,90.08
Male,1.71,92.24
Male,1.71,87.64
Male,1.65,80.8
Male,1.68,73.84
Male,1.72,72.25
Male,1.66,78.07
Male,1.77,91.55
Male,1.74,77.27
Male,1.83,93.16
Male,1.73,77.01
Male,1.83,90.92
Male,1.68,81.01
Male,1.69,76.21
Male,1.72,80.63
Male,1.73,87.67
Male,1.65,73.65
Male,1.71,83.18
Male,1.73,82.13
Male,1.77,95.65
Male,1.69,75.1
Male,1.69,88.97
Male,1.83,91.65
Male,1.73,77.3
Male,1.78,91.6
Male,1.82,87.72
Male,1.67,81.58
Male,1.7,70.98
Male,1.95,106.61
Male,1.84,104.58
Male,1.77,92.49
Male,1.85,98.98
Male,1.84,101.0
Male,1.84,94.56
Male,1.71,82.0
Male,1.93,105.2
Male,1.68,77.38
Male,1.81,85.4
Male,1.81,88.93
Male,1.83,97.34
Male,1.91,101.66
Male,1.64,71.93
Male,1.64,75.52
Male,1.61,72.64
Male,1.72,79.91
Male,1.67,79.15
Male,1.8,87.95
Male,1.72,84.82
Male,1.74,78.74
Male,1.79,87.7
Male,1.84,94.55
Male,1.8,93.45
Male,1.67,78.28
Male,1.9,105.52
Male,1.72,80.39
Male,1.71,79.67
Male,1.82,96.45
Male,1.64,75.74
Male,1.73,89.09
Male,1.7,75.04
Male,1.7,80.09
Male,1.72,79.22
Male,1.76,88.56
